t,cumulative_accuracy,cumulative_fixed_baseline_accuracy,cumulative_clinical_baseline_accuracy,cumulative_regret,cumulative_fixed_baseline_regret,cumulative_clinical_baseline_regret
69,0.07479294727717323,0.05597970324216232,0.058443836820477525,5.235506309402127,3.9185792269513624,4.091068577433426
70,0.07352328527401795,0.05492577584685457,0.05654151538864865,5.220153254455275,3.8997300851266754,4.014447592594057
71,0.0744913169624086,0.05264680578956385,0.056371925832742885,5.3633748212934185,3.790570016848598,4.05877865995749
72,0.07095433868057856,0.05153901494528448,0.055059740253565956,5.179666723682234,3.7623480910057667,4.019361038510317
73,0.07068212819602182,0.05341010454962618,0.05538892305924104,5.230477486505616,3.9523477366723374,4.09878030638384
74,0.0723183346079529,0.053700490594206694,0.054970486499256226,5.4238750955964665,4.0275367945655,4.122786487444219
75,0.0705965406774323,0.05221441322320095,0.0531312843079451,5.3653370914848555,3.9682954049632735,4.037977607403827
76,0.06917144638660745,0.050807716384146065,0.054004905456053166,5.326201371768775,3.912194161579246,4.15837772011609
77,0.06796717596164326,0.05109615429057867,0.05118073662672348,5.301439725008174,3.985500034665135,3.992097456884433
78,0.0675421173136642,0.051196068714554316,0.0520253245605924,5.335827267779472,4.044489428449789,4.110000640286798
79,0.06805570473787206,0.05209429709165567,0.05273755777432242,5.444456379029764,4.167543767332455,4.219004621945797
80,0.06637483353909517,0.050867067804478396,0.05057051041026941,5.376361516666708,4.120232492162751,4.096211343231823
81,0.06409235954456452,0.050402276659591655,0.051678971085684644,5.25557348265429,4.132986686086518,4.237675629026142
82,0.06217565449210034,0.049641355327262056,0.051725319035434876,5.1605793228443275,4.120232492162751,4.2932014799410965
83,0.061347379849842516,0.0495044966680487,0.051386086601034275,5.153179907386771,4.158377720116088,4.316431274486878
84,0.062285143350034926,0.05082097803480143,0.052262592928013794,5.29423718475297,4.31978313295812,4.442320398881174
85,0.06188659592951281,0.048694201061777125,0.05378754605866549,5.3222472499381,4.187701291312831,4.625728961045235
86,0.06108140898406593,0.048462032638018085,0.05340744168017519,5.314082581613738,4.216196839507578,4.646447426175242
87,0.0627279444870763,0.04798574349686962,0.05398435486150559,5.520059114862715,4.222745427724531,4.750623227812492
88,0.06304583444641516,0.049485891734453204,0.05351143967328988,5.611079265730952,4.404244364366335,4.7625181309228015
89,0.06307065666610502,0.04976879618218932,0.053454419076241294,5.676359099949451,4.479191656397038,4.8108977168617155
90,0.060400113316611555,0.04776379063757678,0.05255350478151338,5.496410311811653,4.346504948019487,4.782368935117714
91,0.06233125663482368,0.0498074843169247,0.05347119076629935,5.734475610403777,4.582288557157072,4.919349550499536
92,0.06173007187141718,0.0490149792329192,0.05409912183929357,5.7408966840417985,4.558393068661483,5.031218331054302
93,0.06159536270278641,0.04884540489520212,0.05610975656579879,5.789964094061923,4.591468060148999,5.274317117185085
94,0.061577645178835134,0.050308857993336245,0.05642816344160102,5.8498762919893394,4.779341509366945,5.360675526952098
95,0.06207825541461064,0.05172850625059774,0.058154880548230384,5.959512519802623,4.965936600057382,5.582868532630119
96,0.06065944044517375,0.050866377252533235,0.05672322359555521,5.883965723181853,4.934038593495725,5.502152688768853
97,0.062313532971705735,0.05337221925005729,0.05746371099660317,6.106726231227162,5.230477486505615,5.631443677667107
98,0.06285692631240367,0.05339926329436427,0.05746559501222974,6.222835704927966,5.286527066142064,5.6890939062107435
99,0.0612050049553053,0.05140141304631511,0.056101411934572826,6.120500495530529,5.140141304631512,5.610141193457284
100,0.060618168476195874,0.04886506725913306,0.055740672146384965,6.1224350160957846,4.935371793172437,5.629807886784882
101,0.06012281958552589,0.04812391177447683,0.05539318427862575,6.132527597723642,4.908639000996636,5.650104796419826
102,0.058971881448648754,0.04759158275395343,0.05317694733059867,6.074103789210821,4.901933023657204,5.4772255750516585
103,0.060484071889641264,0.04974583093508428,0.05308895011303802,6.2903434765226915,5.173566417248764,5.521250811755954
104,0.061120929242012415,0.051324502520887536,0.05478859543518262,6.4176975704113035,5.38907276469319,5.7528025206941775
105,0.0618607345775311,0.0517263023054053,0.0555512875724284,6.5572378652182985,5.482988044372963,5.8884364826774105
106,0.06087806202107116,0.052026345715025006,0.055768552335015625,6.513952636254612,5.566818991507673,5.96723509984667
107,0.06274723678773772,0.0535602540679707,0.05676875463156294,6.776701573075674,5.784507439340836,6.131025500208798
108,0.06232280220104119,0.052836726250063394,0.05535683932176302,6.79318543991349,5.759203161256909,6.033895486072169
109,0.06352690517883502,0.05277015250324099,0.05459328046831677,6.987959569671851,5.80471677535651,6.005260851514848
110,0.06353545215967936,0.051816745942618266,0.05440654784105872,7.052435189724409,5.7516587996306265,6.039126810357518
111,0.06349734584725207,0.051517242246235946,0.05232534179212525,7.111702734892235,5.769931131578426,5.860438280718026
