t,cumulative_accuracy,cumulative_fixed_baseline_accuracy,cumulative_clinical_baseline_accuracy,cumulative_supervised_accuracy,cumulative_regret,cumulative_fixed_baseline_regret,cumulative_clinical_baseline_regret,cumulative_supervised_regret
35,0.0856879813593931,0.06810104101168055,0.07457645186980458,0.08074689918749242,3.0847673289381503,2.4516374764204993,2.6847522673129647,2.906888370749726
36,0.08225793624353318,0.06437701799528438,0.075673135498924,0.08618368043480287,3.0435436410107286,2.381949665825521,2.799906013460189,3.188796176087706
37,0.0811219439579378,0.06744455531759866,0.07922389244955909,0.08856471642522429,3.082633870401635,2.5628931020687498,3.010507913083247,3.365459224158522
38,0.0750906346482886,0.0681451340862262,0.08297181001274406,0.08540708429285293,2.9285347512832556,2.65766022936282,3.2359005904970175,3.330876287421265
39,0.07411761634477715,0.07024393586862704,0.08708548431826839,0.08865775413589638,2.964704653791087,2.8097574347450816,3.4834193727307357,3.5463101654358558
40,0.07668088856564594,0.06686570785820685,0.08359618106011896,0.09305209902944843,3.143916431191481,2.7414940221864814,3.4274434234648763,3.8151360602073856
41,0.0749348286683794,0.0646767094050688,0.08193419066805775,0.09054871120741996,3.147262804071935,2.7164217950128906,3.4412360080584268,3.8030458707116384
42,0.07287060423010625,0.06748616280093131,0.0780114938590444,0.08205711053198766,3.133435981894569,2.901905000440047,3.354494235938909,3.52845575287547
43,0.07167108368529541,0.07121445413396744,0.07928014538839827,0.08355415139743791,3.153527682152998,3.1334359818945696,3.4883263970895237,3.676382661487268
44,0.07366750019374435,0.06817018035240006,0.07510010646399366,0.07861702600027556,3.3150375087184956,3.0676581158580034,3.3795047908797144,3.537766170012401
45,0.07158120054744649,0.06738392223537676,0.07144207271806517,0.07894280821240686,3.2927352251825375,3.099660422827331,3.2863353450309964,3.6313691777707144
46,0.07222670727185815,0.0655879546893965,0.06981119682551683,0.08117310766398694,3.394655241777332,3.082633870401635,3.28112625079929,3.8151360602073865
47,0.07510804838862836,0.06657065454675676,0.06775260023926231,0.08220174689738932,3.6051863226541605,3.1953914182443244,3.252124811484591,3.945683851074688
48,0.07618791873361057,0.06534638930458789,0.06909650126287772,0.08120187088242285,3.7332080179469185,3.2019730759248057,3.3857285618810087,3.97889167323872
49,0.0805964606771551,0.06508294303182832,0.0670820393249937,0.07949842765740715,4.029823033857756,3.254147151591416,3.3541019662496847,3.9749213828703587
50,0.07981240272086959,0.06614253993876089,0.06644776786336587,0.0765710752539868,4.070432538764349,3.3732695368768044,3.388836161031658,3.905124837953327
51,0.0783272646411997,0.0667559806065761,0.06658811421132055,0.07235957308386692,4.073017761342384,3.471310991541956,3.4625819389886683,3.7626978003610785
52,0.07603439686524066,0.066186525528886,0.06310705079049603,0.07224352214499985,4.029823033857756,3.5078858530309587,3.3446736918962894,3.828906673684993
53,0.07513855033979741,0.06312900935013263,0.06257621156628836,0.07070174363703806,4.0574817183490595,3.40896650490716,3.3791154245795716,3.8178941564000546
54,0.07379008115292343,0.06504925025453936,0.06442437595728706,0.07210258025317023,4.058454463410788,3.577708763999663,3.5433406776507863,3.9656419139243626
55,0.07325553578463165,0.06380222319175506,0.06474875013827151,0.07030960953003777,4.1023100039393725,3.5729244987382827,3.625930007743204,3.937338133682116
56,0.07320337329270453,0.06615931747128924,0.06672010299494104,0.07074446125552664,4.172592277684157,3.7710810958634857,3.803045870711638,4.032434291565018
57,0.0711979863736226,0.06756749991116713,0.0648680705345822,0.06898819953676034,4.129483209670112,3.9189149948476945,3.7623480910057667,4.001315573132102
58,0.06808036071142724,0.0658679735483802,0.06618855657548012,0.06870488819988833,4.016741281974205,3.886210439354432,3.905124837953327,4.0535884037934125
59,0.06888311143477532,0.06440801047125659,0.06742442162583932,0.06913733260861252,4.132986686086519,3.8644806282753947,4.045465297550359,4.148239956516752
