t,cumulative_accuracy,cumulative_fixed_baseline_accuracy,cumulative_clinical_baseline_accuracy,cumulative_regret,cumulative_fixed_baseline_regret,cumulative_clinical_baseline_regret
155,0.5833333333333333,0.6134615384615384,0.6564102564102564,65.0,60.3,53.6
156,0.5850318471337579,0.6143312101910828,0.6576433121019108,65.15,60.55,53.75
157,0.5857594936708861,0.614240506329114,0.6575949367088608,65.45,60.95,54.1
158,0.5852201257861636,0.6141509433962263,0.6575471698113208,65.95,61.35,54.45
159,0.5840625,0.6140625,0.656875,66.55,61.75,54.9
160,0.584472049689441,0.6136645962732918,0.6559006211180124,66.9,62.2,55.4
161,0.5851851851851853,0.6154320987654321,0.6577160493827161,67.2,62.3,55.45
162,0.5868098159509202,0.6159509202453988,0.658282208588957,67.35,62.6,55.7
163,0.5865853658536586,0.6158536585365854,0.6576219512195122,67.8,63.0,56.15
164,0.5881818181818181,0.6172727272727273,0.6587878787878788,67.95,63.15,56.3
165,0.5885542168674699,0.6174698795180723,0.6581325301204819,68.3,63.5,56.75
166,0.5889221556886228,0.6170658682634731,0.6586826347305389,68.65,63.95,57.0
167,0.5895833333333333,0.6178571428571429,0.6592261904761905,68.95,64.2,57.25
168,0.5902366863905326,0.6180473372781065,0.6588757396449705,69.25,64.55,57.65
169,0.5905882352941176,0.6182352941176471,0.6585294117647058,69.6,64.9,58.05
170,0.5909356725146199,0.6181286549707602,0.6587719298245613,69.95,65.3,58.35
171,0.5901162790697675,0.6177325581395349,0.6581395348837209,70.5,65.75,58.8
172,0.588728323699422,0.6161849710982659,0.6572254335260116,71.15,66.4,59.3
173,0.5902298850574713,0.6169540229885058,0.6583333333333333,71.3,66.65,59.45
174,0.5908571428571429,0.6168571428571428,0.658,71.6,67.05,59.85
175,0.5903409090909091,0.6164772727272727,0.6585227272727272,72.1,67.5,60.1
176,0.5912429378531073,0.6166666666666667,0.6584745762711864,72.35,67.85,60.45
177,0.5910112359550561,0.6160112359550561,0.6578651685393259,72.8,68.35,60.9
178,0.5913407821229051,0.6153631284916201,0.6575418994413408,73.15,68.85,61.3
179,0.5913888888888889,0.6152777777777778,0.6575,73.55,69.25,61.65
180,0.5908839779005525,0.6146408839779005,0.6577348066298343,74.05,69.75,61.95
181,0.5903846153846154,0.6134615384615385,0.6571428571428571,74.55,70.35,62.4
182,0.5907103825136611,0.6133879781420765,0.6562841530054645,74.9,70.75,62.9
183,0.5910326086956521,0.6135869565217391,0.6567934782608695,75.25,71.1,63.15
184,0.5908108108108108,0.6140540540540541,0.6564864864864866,75.7,71.4,63.55
185,0.5908602150537634,0.613978494623656,0.657258064516129,76.1,71.8,63.75
186,0.5922459893048129,0.6144385026737968,0.658288770053476,76.25,72.1,63.9
187,0.5925531914893617,0.6148936170212765,0.6582446808510638,76.6,72.4,64.25
188,0.5920634920634921,0.614021164021164,0.6582010582010582,77.1,72.95,64.6
189,0.5928947368421053,0.6147368421052631,0.6592105263157895,77.35,73.2,64.75
190,0.5926701570680628,0.6146596858638743,0.6581151832460733,77.8,73.6,65.3
191,0.59296875,0.6140625,0.6578125,78.15,74.1,65.7
192,0.5930051813471502,0.6142487046632124,0.6580310880829016,78.55,74.45,66.0
193,0.5930412371134021,0.6144329896907217,0.6582474226804124,78.95,74.8,66.3
194,0.5941025641025641,0.6148717948717949,0.658974358974359,79.15,75.1,66.5
195,0.5936224489795918,0.6137755102040816,0.6586734693877551,79.65,75.7,66.9
196,0.5931472081218274,0.6131979695431472,0.6583756345177665,80.15,76.2,67.3
197,0.5929292929292929,0.6128787878787879,0.6585858585858586,80.6,76.65,67.6
198,0.5939698492462312,0.6133165829145729,0.6585427135678392,80.8,76.95,67.95
199,0.5934999999999999,0.613,0.658,81.3,77.4,68.4
200,0.5932835820895522,0.6124378109452737,0.6577114427860696,81.75,77.9,68.8
201,0.5923267326732673,0.6116336633663366,0.6566831683168317,82.35,78.45,69.35
202,0.5926108374384237,0.611576354679803,0.6566502463054187,82.7,78.85,69.7
203,0.5928921568627451,0.6115196078431373,0.6566176470588235,83.05,79.25,70.05
204,0.5924390243902439,0.6109756097560975,0.655609756097561,83.55,79.75,70.6
205,0.591504854368932,0.6097087378640776,0.6558252427184466,84.15,80.4,70.9
206,0.5910628019323672,0.6099033816425121,0.6553140096618357,84.65,80.75,71.35
207,0.5908653846153846,0.6096153846153846,0.6548076923076923,85.1,81.2,71.8
208,0.5904306220095694,0.6095693779904306,0.6543062200956938,85.6,81.6,72.25
209,0.5911904761904763,0.6102380952380952,0.6552380952380952,85.85,81.85,72.4
210,0.5919431279620853,0.6111374407582939,0.6556872037914692,86.1,82.05,72.65
211,0.5915094339622642,0.6110849056603774,0.6558962264150943,86.6,82.45,72.95
212,0.5910798122065728,0.6107981220657277,0.6553990610328639,87.1,82.9,73.4
213,0.592056074766355,0.6114485981308412,0.6563084112149532,87.3,83.15,73.55
