t,cumulative_accuracy,cumulative_fixed_baseline_accuracy,cumulative_clinical_baseline_accuracy,cumulative_supervised_accuracy,cumulative_regret,cumulative_fixed_baseline_regret,cumulative_clinical_baseline_regret,cumulative_supervised_regret
46,0.5202127659574468,0.6031914893617021,0.6563829787234042,0.5180851063829788,22.55,18.65,16.15,22.65
47,0.521875,0.6041666666666667,0.6572916666666667,0.51875,22.95,19.0,16.45,23.1
48,0.5224489795918367,0.6040816326530611,0.6551020408163265,0.5224489795918367,23.4,19.4,16.9,23.4
49,0.523,0.604,0.655,0.526,23.85,19.8,17.25,23.7
50,0.5215686274509804,0.6019607843137255,0.6529411764705882,0.5245098039215687,24.4,20.3,17.7,24.25
51,0.5230769230769231,0.6048076923076924,0.6557692307692308,0.5288461538461539,24.8,20.55,17.9,24.5
52,0.5254716981132075,0.6056603773584905,0.6575471698113208,0.531132075471698,25.15,20.9,18.15,24.85
53,0.5259259259259259,0.6037037037037037,0.6583333333333334,0.5361111111111112,25.6,21.4,18.45,25.05
54,0.5281818181818181,0.6036363636363636,0.6572727272727272,0.5381818181818182,25.95,21.8,18.85,25.4
55,0.53125,0.6044642857142857,0.6589285714285714,0.5419642857142857,26.25,22.15,19.1,25.65
56,0.5333333333333333,0.6017543859649123,0.656140350877193,0.5447368421052632,26.6,22.7,19.6,25.95
57,0.5344827586206897,0.6017241379310345,0.6560344827586208,0.5465517241379311,27.0,23.1,19.95,26.3
58,0.5364406779661017,0.6008474576271187,0.6567796610169492,0.547457627118644,27.35,23.55,20.25,26.7
59,0.5391666666666667,0.6041666666666667,0.6591666666666667,0.5508333333333334,27.65,23.75,20.45,26.95
60,0.5393442622950819,0.6049180327868853,0.659016393442623,0.5532786885245902,28.1,24.1,20.8,27.25
61,0.5395161290322581,0.6016129032258065,0.6556451612903226,0.5532258064516129,28.55,24.7,21.35,27.7
62,0.5380952380952381,0.6,0.6531746031746032,0.553968253968254,29.1,25.2,21.85,28.1
63,0.53828125,0.6,0.653125,0.55625,29.55,25.6,22.2,28.4
64,0.5392307692307693,0.5976923076923077,0.65,0.5561538461538461,29.95,26.15,22.75,28.85
65,0.5401515151515152,0.6,0.6507575757575758,0.5575757575757576,30.35,26.4,23.05,29.2
66,0.541044776119403,0.6,0.6529850746268656,0.5619402985074627,30.75,26.8,23.25,29.35
67,0.5411764705882354,0.5977941176470588,0.6529411764705882,0.5647058823529412,31.2,27.35,23.6,29.6
68,0.5434782608695652,0.5985507246376811,0.6550724637681159,0.5652173913043479,31.5,27.7,23.8,30.0
69,0.5442857142857143,0.6,0.655,0.5664285714285715,31.9,28.0,24.15,30.35
70,0.5450704225352113,0.5985915492957747,0.6556338028169014,0.5669014084507042,32.3,28.5,24.45,30.75
71,0.5458333333333333,0.5993055555555555,0.65625,0.5694444444444444,32.7,28.85,24.75,31.0
72,0.5472602739726027,0.5965753424657534,0.6547945205479453,0.5712328767123288,33.05,29.45,25.2,31.3
73,0.5493243243243243,0.5972972972972973,0.6560810810810811,0.5709459459459459,33.35,29.8,25.45,31.75
74,0.548,0.5966666666666667,0.654,0.572,33.9,30.25,25.95,32.1
75,0.5480263157894737,0.5986842105263157,0.6546052631578947,0.5743421052631579,34.35,30.5,26.25,32.35
76,0.55,0.5993506493506493,0.6558441558441558,0.5759740259740259,34.65,30.85,26.5,32.65
77,0.55,0.5987179487179487,0.6551282051282051,0.5762820512820512,35.1,31.3,26.9,33.05
78,0.55,0.5974683544303797,0.6531645569620254,0.5746835443037975,35.55,31.8,27.4,33.6
79,0.551875,0.6,0.6556249999999999,0.576875,35.85,32.0,27.55,33.85
80,0.5524691358024691,0.6006172839506172,0.6555555555555556,0.5777777777777777,36.25,32.35,27.9,34.2
81,0.5548780487804879,0.6024390243902439,0.6567073170731708,0.5792682926829269,36.5,32.6,28.15,34.5
82,0.5566265060240964,0.6024096385542169,0.6566265060240963,0.5795180722891566,36.8,33.0,28.5,34.9
83,0.5601190476190476,0.6035714285714285,0.6589285714285714,0.5845238095238094,36.95,33.3,28.65,34.9
84,0.5599999999999999,0.6023529411764705,0.6576470588235294,0.5847058823529412,37.4,33.8,29.1,35.3
85,0.5604651162790698,0.6040697674418605,0.6587209302325581,0.583139534883721,37.8,34.05,29.35,35.85
86,0.5620689655172414,0.6045977011494252,0.6597701149425287,0.5844827586206897,38.1,34.4,29.6,36.15
87,0.5653409090909091,0.60625,0.6619318181818181,0.5869318181818182,38.25,34.65,29.75,36.35
88,0.5662921348314607,0.6061797752808988,0.6617977528089888,0.5870786516853933,38.6,35.05,30.1,36.75
89,0.5661111111111111,0.605,0.6622222222222222,0.5883333333333333,39.05,35.55,30.4,37.05
90,0.5681318681318681,0.606043956043956,0.6631868131868133,0.5901098901098901,39.3,35.85,30.65,37.3
91,0.567391304347826,0.6059782608695652,0.6625,0.5891304347826087,39.8,36.25,31.05,37.8
92,0.5682795698924731,0.6075268817204301,0.6634408602150538,0.5913978494623656,40.15,36.5,31.3,38.0
93,0.5680851063829787,0.6090425531914894,0.6643617021276595,0.5925531914893617,40.6,36.75,31.55,38.3
94,0.5694736842105264,0.608421052631579,0.6642105263157895,0.5926315789473684,40.9,37.2,31.9,38.7
95,0.5708333333333333,0.6098958333333333,0.6645833333333333,0.5942708333333333,41.2,37.45,32.2,38.95
96,0.5711340206185567,0.6087628865979381,0.6628865979381443,0.5958762886597938,41.6,37.95,32.7,39.2
97,0.5704081632653061,0.6076530612244898,0.661734693877551,0.5959183673469387,42.1,38.45,33.15,39.6
98,0.5707070707070707,0.6075757575757577,0.6601010101010101,0.5959595959595959,42.5,38.85,33.65,40.0
99,0.5715,0.6085,0.6585,0.5955,42.85,39.15,34.15,40.45
100,0.5727722772277228,0.6079207920792079,0.657920792079208,0.596039603960396,43.15,39.6,34.55,40.8
101,0.5725490196078431,0.6078431372549019,0.6568627450980392,0.596078431372549,43.6,40.0,35.0,41.2
102,0.5723300970873787,0.6063106796116504,0.6563106796116505,0.596116504854369,44.05,40.55,35.4,41.6
103,0.5725961538461538,0.6076923076923076,0.6567307692307692,0.5966346153846154,44.45,40.8,35.7,41.95
104,0.5738095238095238,0.6076190476190476,0.6571428571428571,0.5971428571428572,44.75,41.2,36.0,42.3
105,0.5735849056603773,0.6056603773584905,0.6566037735849056,0.5976415094339622,45.2,41.8,36.4,42.65
106,0.5742990654205606,0.6065420560747663,0.6574766355140187,0.5971962616822429,45.55,42.1,36.65,43.1
107,0.575462962962963,0.6064814814814815,0.6578703703703703,0.5981481481481482,45.85,42.5,36.95,43.4
108,0.5761467889908257,0.6068807339449541,0.656880733944954,0.5977064220183486,46.2,42.85,37.4,43.85
109,0.5777272727272728,0.6081818181818182,0.6577272727272727,0.5995454545454545,46.45,43.1,37.65,44.05
110,0.5783783783783785,0.6076576576576577,0.6572072072072073,0.6,46.8,43.55,38.05,44.4
111,0.5785714285714285,0.6066964285714286,0.6558035714285715,0.6013392857142856,47.2,44.05,38.55,44.65
112,0.5805309734513274,0.6075221238938053,0.6553097345132743,0.6017699115044248,47.4,44.35,38.95,45.0
113,0.5820175438596491,0.6096491228070176,0.6557017543859649,0.6026315789473684,47.65,44.5,39.25,45.3
114,0.5804347826086957,0.6086956521739131,0.6547826086956522,0.6021739130434782,48.25,45.0,39.7,45.75
115,0.5806034482758621,0.6086206896551725,0.6547413793103448,0.603448275862069,48.65,45.4,40.05,46.0
116,0.5799145299145299,0.6081196581196581,0.6534188034188034,0.602991452991453,49.15,45.85,40.55,46.45
117,0.5779661016949152,0.6055084745762712,0.6516949152542373,0.6016949152542372,49.8,46.55,41.1,47.0
118,0.576890756302521,0.6050420168067226,0.6508403361344538,0.6025210084033613,50.35,47.0,41.55,47.3
119,0.5779166666666666,0.60625,0.65,0.60375,50.65,47.25,42.0,47.55
120,0.5789256198347108,0.6074380165289257,0.65,0.6045454545454546,50.95,47.5,42.35,47.85
121,0.5815573770491803,0.6090163934426229,0.6520491803278688,0.6069672131147541,51.05,47.7,42.45,47.95
122,0.5808943089430894,0.608130081300813,0.65,0.6060975609756097,51.55,48.2,43.05,48.45
123,0.5826612903225806,0.6088709677419355,0.6512096774193548,0.6076612903225806,51.75,48.5,43.25,48.65
124,0.584,0.6096,0.6524,0.6088,52.0,48.8,43.45,48.9
125,0.5853174603174603,0.6095238095238095,0.6523809523809524,0.6095238095238095,52.25,49.2,43.8,49.2
126,0.5850393700787402,0.6098425196850393,0.6527559055118111,0.610236220472441,52.7,49.55,44.1,49.5
127,0.584375,0.608984375,0.651953125,0.609765625,53.2,50.05,44.55,49.95
128,0.5856589147286821,0.6093023255813954,0.6527131782945736,0.6108527131782946,53.45,50.4,44.8,50.2
129,0.5869230769230769,0.61,0.6530769230769231,0.6107692307692307,53.7,50.7,45.1,50.6
130,0.5877862595419847,0.6114503816793893,0.6541984732824427,0.6099236641221374,54.0,50.9,45.3,51.1
131,0.5890151515151516,0.6132575757575758,0.6553030303030303,0.6113636363636363,54.25,51.05,45.5,51.3
132,0.5887218045112782,0.6124060150375941,0.6545112781954887,0.612781954887218,54.7,51.55,45.95,51.5
133,0.5876865671641791,0.6104477611940299,0.6529850746268656,0.6119402985074627,55.25,52.2,46.5,52.0
134,0.5881481481481481,0.61,0.6522222222222223,0.6118518518518519,55.6,52.65,46.95,52.4
135,0.5863970588235294,0.6080882352941177,0.6503676470588236,0.6106617647058823,56.25,53.3,47.55,52.95
136,0.5872262773722629,0.6091240875912408,0.6514598540145985,0.6109489051094891,56.55,53.55,47.75,53.3
137,0.5884057971014494,0.6097826086956522,0.6518115942028986,0.6119565217391305,56.8,53.85,48.05,53.55
138,0.5881294964028777,0.6093525179856115,0.6514388489208633,0.6111510791366906,57.25,54.3,48.45,54.05
139,0.5878571428571429,0.6096428571428572,0.6517857142857142,0.6114285714285714,57.7,54.65,48.75,54.4
140,0.5890070921985815,0.6099290780141844,0.652127659574468,0.6124113475177305,57.95,55.0,49.05,54.65
141,0.5883802816901408,0.6109154929577465,0.6528169014084507,0.6126760563380282,58.45,55.25,49.3,55.0
142,0.5884615384615385,0.6104895104895105,0.6520979020979021,0.6125874125874126,58.85,55.7,49.75,55.4
143,0.5881944444444445,0.6104166666666667,0.6520833333333333,0.6135416666666667,59.3,56.1,50.1,55.65
144,0.5875862068965517,0.6106896551724138,0.6517241379310346,0.6137931034482759,59.8,56.45,50.5,56.0
145,0.588013698630137,0.6106164383561644,0.6513698630136986,0.6147260273972603,60.15,56.85,50.9,56.25
146,0.5891156462585034,0.6122448979591837,0.6520408163265305,0.616326530612245,60.4,57.0,51.15,56.4
147,0.5888513513513514,0.6114864864864865,0.652027027027027,0.6158783783783784,60.85,57.5,51.5,56.85
148,0.5899328859060403,0.6120805369127517,0.6520134228187919,0.6164429530201343,61.1,57.8,51.85,57.15
149,0.5913333333333333,0.6126666666666667,0.6523333333333333,0.616,61.3,58.1,52.15,57.6
150,0.590728476821192,0.6122516556291391,0.652317880794702,0.6162251655629138,61.8,58.55,52.5,57.95
151,0.5907894736842105,0.6121710526315789,0.6509868421052631,0.6157894736842106,62.2,58.95,53.05,58.4
152,0.5908496732026144,0.6130718954248365,0.6513071895424837,0.6173202614379085,62.6,59.2,53.35,58.55
153,0.5912337662337662,0.612987012987013,0.650974025974026,0.6172077922077922,62.95,59.6,53.75,58.95
154,0.5906451612903225,0.613225806451613,0.6509677419354839,0.6167741935483871,63.45,59.95,54.1,59.4
155,0.591025641025641,0.6137820512820513,0.6506410256410257,0.6163461538461539,63.8,60.25,54.5,59.85
156,0.5914012738853504,0.6152866242038216,0.6515923566878981,0.6168789808917198,64.15,60.4,54.7,60.15
157,0.591139240506329,0.6139240506329113,0.6509493670886075,0.6180379746835443,64.6,61.0,55.15,60.35
158,0.5911949685534591,0.6144654088050314,0.6509433962264151,0.6188679245283019,65.0,61.3,55.5,60.6
159,0.5925,0.6146874999999999,0.6509375000000001,0.619375,65.2,61.65,55.85,60.9
160,0.5937888198757764,0.6152173913043478,0.6524844720496894,0.6211180124223603,65.4,61.95,55.95,61.0
161,0.5947530864197531,0.6160493827160494,0.6530864197530863,0.6219135802469136,65.65,62.2,56.2,61.25
162,0.5947852760736196,0.6156441717791411,0.6521472392638037,0.6208588957055214,66.05,62.65,56.7,61.8
163,0.5954268292682927,0.6158536585365854,0.6527439024390244,0.6219512195121951,66.35,63.0,56.95,62.0
164,0.5948484848484848,0.6145454545454545,0.6512121212121211,0.6212121212121212,66.85,63.6,57.55,62.5
165,0.5954819277108434,0.6141566265060241,0.6503012048192771,0.6222891566265061,67.15,64.05,58.05,62.7
166,0.5952095808383233,0.6137724550898204,0.6494011976047904,0.6218562874251498,67.6,64.5,58.55,63.15
167,0.5946428571428571,0.6133928571428571,0.6482142857142857,0.6214285714285714,68.1,64.95,59.1,63.6
168,0.5949704142011834,0.6127218934911243,0.6479289940828402,0.6215976331360947,68.45,65.45,59.5,63.95
169,0.5952941176470589,0.6129411764705883,0.648235294117647,0.6220588235294118,68.8,65.8,59.8,64.25
170,0.5961988304093567,0.6134502923976608,0.6488304093567251,0.6225146198830409,69.05,66.1,60.05,64.55
171,0.5962209302325581,0.6139534883720931,0.6488372093023256,0.6229651162790698,69.45,66.4,60.4,64.85
172,0.5968208092485549,0.6141618497109826,0.6485549132947976,0.6231213872832371,69.75,66.75,60.8,65.2
173,0.596551724137931,0.614367816091954,0.6488505747126437,0.6229885057471265,70.2,67.1,61.1,65.6
174,0.5971428571428572,0.6142857142857143,0.6488571428571428,0.6228571428571429,70.5,67.5,61.45,66.0
175,0.5974431818181818,0.6142045454545455,0.6494318181818182,0.6230113636363637,70.85,67.9,61.7,66.35
176,0.5977401129943503,0.6146892655367232,0.6497175141242938,0.6225988700564972,71.2,68.2,62.0,66.8
177,0.5980337078651685,0.6154494382022472,0.6497191011235955,0.6224719101123595,71.55,68.45,62.35,67.2
178,0.5994413407821229,0.6164804469273742,0.6497206703910614,0.6237430167597766,71.7,68.65,62.7,67.35
179,0.6,0.6177777777777778,0.65,0.6241666666666666,72.0,68.8,63.0,67.65
180,0.6002762430939226,0.618232044198895,0.6502762430939226,0.6245856353591159,72.35,69.1,63.3,67.95
181,0.6010989010989011,0.6186813186813187,0.65,0.6252747252747253,72.6,69.4,63.7,68.2
182,0.6013661202185793,0.6183060109289618,0.6494535519125683,0.6245901639344262,72.95,69.85,64.15,68.7
183,0.6021739130434782,0.61875,0.6502717391304348,0.6247282608695652,73.2,70.15,64.35,69.05
184,0.6024324324324325,0.6186486486486487,0.6505405405405406,0.6256756756756757,73.55,70.55,64.65,69.25
185,0.6029569892473118,0.6193548387096774,0.6510752688172043,0.6266129032258064,73.85,70.8,64.9,69.45
186,0.6026737967914438,0.6192513368983957,0.6510695187165776,0.6270053475935828,74.3,71.2,65.25,69.75
187,0.602127659574468,0.6191489361702127,0.651063829787234,0.627127659574468,74.8,71.6,65.6,70.1
188,0.6026455026455027,0.6187830687830688,0.6513227513227513,0.6275132275132276,75.1,72.05,65.9,70.4
189,0.6028947368421053,0.6189473684210526,0.6518421052631579,0.628157894736842,75.45,72.4,66.15,70.65
190,0.6034031413612565,0.618848167539267,0.6520942408376963,0.6287958115183245,75.75,72.8,66.45,70.9
