cumulative_accuracy,cumulative_fixed_baseline_accuracy,cumulative_clinical_baseline_accuracy,cumulative_regret,cumulative_fixed_baseline_regret,cumulative_clinical_baseline_regret
0.58841059602649,0.6221854304635761,0.6619205298013245,62.15,57.05,51.05
0.5881578947368421,0.6213815789473685,0.6615131578947369,62.6,57.55,51.45
0.5872549019607843,0.6199346405228758,0.6601307189542484,63.15,58.15,52.0
0.5876623376623377,0.6194805194805195,0.6597402597402597,63.5,58.6,52.4
0.5890322580645162,0.6203225806451613,0.6606451612903226,63.7,58.85,52.6
0.5891025641025641,0.6201923076923077,0.6612179487179487,64.1,59.25,52.85
0.5904458598726114,0.6207006369426751,0.6617834394904458,64.3,59.55,53.1
0.5905063291139241,0.620253164556962,0.6620253164556962,64.7,60.0,53.4
0.589622641509434,0.620125786163522,0.6619496855345911,65.25,60.4,53.75
0.589375,0.6196875000000001,0.6621875,65.7,60.85,54.05
0.589751552795031,0.6195652173913043,0.6611801242236025,66.05,61.25,54.55
0.5901234567901235,0.620679012345679,0.6617283950617284,66.4,61.45,54.8
0.5914110429447852,0.6211656441717792,0.6613496932515337,66.6,61.75,55.2
0.5902439024390244,0.6198170731707318,0.6603658536585366,67.2,62.35,55.7
0.5906060606060606,0.6206060606060606,0.6606060606060606,67.55,62.6,56.0
0.5900602409638555,0.6204819277108433,0.6593373493975904,68.05,63.0,56.55
0.5901197604790419,0.62125748502994,0.6598802395209581,68.45,63.25,56.8
0.5901785714285714,0.6211309523809524,0.6598214285714286,68.85,63.65,57.15
0.5905325443786983,0.6207100591715976,0.6591715976331362,69.2,64.1,57.6
0.5911764705882353,0.6205882352941177,0.6594117647058824,69.5,64.5,57.9
0.5909356725146199,0.6207602339181286,0.6599415204678363,69.95,64.85,58.15
0.5909883720930232,0.6206395348837209,0.659593023255814,70.35,65.25,58.55
0.5924855491329479,0.6216763005780347,0.6606936416184971,70.5,65.45,58.7
0.5916666666666667,0.6209770114942529,0.6597701149425287,71.05,65.95,59.2
0.5917142857142857,0.6205714285714286,0.6594285714285715,71.45,66.4,59.6
0.5909090909090909,0.6201704545454546,0.6582386363636363,72.0,66.85,60.15
0.5906779661016949,0.619774011299435,0.6573446327683616,72.45,67.3,60.65
0.5904494382022472,0.6196629213483147,0.6573033707865169,72.9,67.7,61.0
0.5899441340782123,0.6189944134078212,0.6558659217877094,73.4,68.2,61.6
0.5900000000000001,0.6194444444444445,0.6558333333333334,73.8,68.5,61.95
0.5903314917127072,0.6204419889502762,0.6560773480662984,74.15,68.7,62.25
0.5909340659340659,0.6200549450549451,0.6563186813186813,74.45,69.15,62.55
0.5926229508196721,0.6207650273224044,0.6568306010928961,74.55,69.4,62.8
0.5926630434782608,0.6209239130434783,0.6567934782608695,74.95,69.75,63.15
0.592972972972973,0.6210810810810811,0.6562162162162162,75.3,70.1,63.6
0.5938172043010753,0.621236559139785,0.6564516129032258,75.55,70.45,63.9
0.5933155080213903,0.620855614973262,0.6564171122994653,76.05,70.9,64.25
0.5930851063829787,0.6212765957446809,0.6561170212765958,76.5,71.2,64.65
0.5933862433862434,0.6211640211640211,0.6563492063492063,76.85,71.6,64.95
0.593421052631579,0.6207894736842106,0.6560526315789474,77.25,72.05,65.35
0.5929319371727748,0.6201570680628272,0.6554973821989529,77.75,72.55,65.8
0.5932291666666667,0.6197916666666667,0.65546875,78.1,73.0,66.15
0.5932642487046632,0.6186528497409326,0.6549222797927461,78.5,73.6,66.6
0.5938144329896907,0.6185567010309279,0.6548969072164949,78.8,74.0,66.95
0.5941025641025641,0.6184615384615385,0.6558974358974359,79.15,74.4,67.1
0.5938775510204082,0.6181122448979591,0.6551020408163265,79.6,74.85,67.6
0.5936548223350254,0.6185279187817259,0.6555837563451776,80.05,75.15,67.85
0.593939393939394,0.6189393939393939,0.6555555555555556,80.4,75.45,68.2
0.5937185929648241,0.6185929648241206,0.6557788944723618,80.85,75.9,68.5
0.593,0.618,0.655,81.4,76.4,69.0
0.5930348258706467,0.6176616915422886,0.6547263681592039,81.8,76.85,69.4
0.5923267326732673,0.6173267326732673,0.6554455445544555,82.35,77.3,69.6
0.5923645320197044,0.6169950738916257,0.6551724137931034,82.75,77.75,70.0
0.5926470588235294,0.6169117647058824,0.6544117647058824,83.1,78.15,70.5
0.5926829268292683,0.6168292682926829,0.654390243902439,83.5,78.55,70.85
0.5927184466019417,0.6169902912621359,0.653883495145631,83.9,78.9,71.3
0.5927536231884057,0.6169082125603864,0.6531400966183575,84.3,79.3,71.8
0.5930288461538462,0.6173076923076923,0.6528846153846154,84.65,79.6,72.2
0.5923444976076555,0.6165071770334929,0.6523923444976076,85.2,80.15,72.65
0.5928571428571429,0.6166666666666667,0.6533333333333333,85.5,80.5,72.8
0.592654028436019,0.616350710900474,0.6535545023696683,85.95,80.95,73.1
0.5929245283018868,0.6165094339622642,0.654245283018868,86.3,81.3,73.3
0.5931924882629108,0.615962441314554,0.6532863849765258,86.65,81.8,73.85
0.5927570093457943,0.6156542056074766,0.6532710280373831,87.15,82.25,74.2
0.5932558139534884,0.6162790697674418,0.6534883720930232,87.45,82.5,74.5
0.59375,0.6168981481481481,0.6539351851851852,87.75,82.75,74.75
0.5940092165898617,0.6168202764976958,0.6543778801843319,88.1,83.15,75.0
0.5938073394495412,0.6165137614678898,0.6548165137614679,88.55,83.6,75.25
0.5945205479452055,0.617351598173516,0.6552511415525114,88.8,83.8,75.5
0.595,0.6179545454545454,0.6563636363636364,89.1,84.05,75.6
0.5945701357466063,0.617420814479638,0.6567873303167421,89.6,84.55,75.85
0.5948198198198198,0.6173423423423424,0.6563063063063063,89.95,84.95,76.3
0.5948430493273542,0.6177130044843049,0.6562780269058296,90.35,85.25,76.65
0.5957589285714285,0.6183035714285714,0.6575892857142857,90.55,85.5,76.7
0.5964444444444444,0.6186666666666667,0.6582222222222222,90.8,85.8,76.9
0.5971238938053097,0.6190265486725663,0.6581858407079646,91.05,86.1,77.25
0.597136563876652,0.6191629955947137,0.6581497797356828,91.45,86.45,77.6
0.5980263157894737,0.6197368421052631,0.6581140350877194,91.65,86.7,77.95
0.5980349344978165,0.6200873362445415,0.6580786026200873,92.05,87.0,78.3
0.5980434782608696,0.62,0.657608695652174,92.45,87.4,78.75
0.598917748917749,0.6207792207792208,0.6582251082251083,92.65,87.6,78.95
